Item,Sales,Sales %Δ,Items Sold,Currency Code
Arepa Reina Pepiada,15370200,10.62,3057,CRC
Combo 1,11529550,54.79,724,CRC
20 tequeños de queso,6047500,15.83,449,CRC
6 Tequeños de Queso,5555800,-9.35,1276,CRC
50 tequeños de queso,3522250,-3.01,135,CRC
Empanada Queso Blanco,3346500,-2.15,1679,CRC
Arepa Pabellón,3273450,5.43,647,CRC
Combo 2,2794500,6.75,178,CRC
Arepa Pelúa,2784400,-6.87,552,CRC
Empanada Plátano & Queso,1474150,-10.61,644,CRC
Fiesta Pack,1291950,234.7,35,CRC
Arepa Queso blanco,1143750,7.51,250,CRC
Empanada Carne mechada,1086400,-15.29,545,CRC
Empanada de Pollo,1085700,-25.11,544,CRC
6 Tequeños de Chocolate,1074150,31.56,217,CRC
Combo 3,1070250,2.29,75,CRC
Cong. 50 tequeños queso,1022000,7.69,56,CRC
100 Tequeños de Queso,1004600,101.32,23,CRC
Empanada carne molida,984200,15.11,494,CRC
Arepa Jamón & Queso,857150,-7.74,183,CRC
Arepas precocidas congeladas,797900,124.44,202,CRC
Arepa Catira,756700,-37.19,155,CRC
Chifriarepa,564200,74.95,112,CRC
Empanada Pabellón,512950,2.89,166,CRC
Arepa Queso Amarillo,488350,14.19,102,CRC
Arepa Vegetariana,393950,520.88,88,CRC
Arepa Viuda,381700,-22.23,296,CRC
Arepa Dulce,369850,0.75,93,CRC
Arepa de Perico,359400,61.13,77,CRC
Cong. 20 tequeños queso,351000,-29.59,33,CRC
Dip de ajo y culantro (2oz),345000,,460,CRC
Malta Maltin,339300,-18.31,166,CRC
Dip de Ajo-Culantro (8oz),327750,-3.36,115,CRC
Arepa Dominó,297700,-28.53,66,CRC
Empanada de Cazón,218400,-50.36,104,CRC
Arepa Vegana,214400,339.79,48,CRC
20 tequeños de chocolate,209300,-14.43,14,CRC
Combo Pepiado,206700,,13,CRC
6 Tequeños de Jamón y Queso,142350,16.87,31,CRC
Arepa de cazón (pescado),138600,12,28,CRC
Quesillo de café (flan cremoso elaborado con café de calidad Dota),126900,,54,CRC
Tri-Pak (18und),100250,153.16,7,CRC
Dip de Guayaba (2oz),78750,,105,CRC
Marquesa Maracuyá,76800,,28,CRC
Marquesa Chocolate,73950,,27,CRC
Tri-Pak (60und),65000,-46.72,2,CRC
Cong. 20 tequeños choco,45000,,4,CRC
20 tequeños de jamón y queso,42600,-60.41,3,CRC
Marquesa Limón,38550,,15,CRC
Dip de ajo y culantro (1oz),33750,-88.97,45,CRC
Arroz con leche,15000,-87.23,6,CRC
Quesillo de Ponche Crema (Rompope),11400,,4,CRC
Dip de tapa dulce (2oz),6750,-35.71,9,CRC
Dip de Guayaba (1oz),6000,-88.89,8,CRC
"Marquesa (Chocolate, Maracuyá o Limón)",2850,,1,CRC
